date,nation,visitor,growth,share,tourism,business,official affairs,studying,others
2019-1,China,392814,28.737869805032012,35.55511706611948,320113,2993,138,8793,60777
2019-1,Japan,206526,23.606830138314482,18.693468428308034,198805,2233,127,785,4576
2019-1,Taiwan,87954,16.003692957003434,7.961057310669865,86393,74,22,180,1285
2019-1,Hong Kong,35896,3.5332121946295203,3.249086036153052,34653,59,2,90,1092
2019-1,Macao,2570,-12.376406409819296,0.23262065725744768,2506,2,0,17,45
2019-1,Phillipines,30473,0.062389177119581696,2.758229295177511,14279,211,161,184,15638
2019-1,Indonesia,18842,10.614065985675714,1.7054624218073269,14183,136,38,187,4298
2019-1,Thailand,41334,-8.026078636434441,3.7413004852448806,34004,37,199,96,6998
2019-1,Vietnam,20183,23.936137549892543,1.8268415274035281,10739,763,110,1667,6904
2019-1,India,8671,16.844091092844636,0.7848458050892331,2318,2656,46,177,3474
2019-1,Malaysia,22065,-0.2170668837335521,1.9971886390605382,19043,95,7,99,2821
2019-1,Singapore,9855,1.9764072847682224,0.8920142324016137,8372,94,8,48,1333
2019-1,Mongolia,9785,-9.339386639488556,0.8856782611922669,8358,77,304,484,562
2019-1,Uzbekistan,5754,5.947339348186342,0.520816833408309,1958,561,0,407,2828
2019-1,Myanmar,5289,-11.673346693386776,0.47872788180336223,1304,10,31,67,3877
2019-1,*GCC,1776,-1.6066481994459814,0.16075264096857086,1550,37,14,72,103
2019-1,Kazakhstan,3574,-9.335362760020294,0.323496587174365,2185,24,7,92,1266
2019-1,Turkey,1785,-7.704239917269906,0.16156726583834402,792,13,32,36,912
2019-1,Cambodia,2695,10.859728506787336,0.24393489155985276,635,39,55,51,1915
2019-1,Sri Lanka,1287,-14.200000000000001,0.11649135637756232,157,54,5,28,1043
2019-1,Bangladesh,1247,1.2997562956945652,0.11287080140079271,149,126,27,97,848
2019-1,Pakistan,1032,-10.726643598615915,0.09341031840065604,238,178,10,193,413
2019-1,Israel,805,-0.49443757725586845,0.0728636689074885,727,12,0,9,57
2019-1,Iran,184,-66.7870036101083,0.016654552893140225,60,45,10,23,46
2019-1,Asia others,4554,16.679477325134506,0.4122001841052205,1561,308,70,205,2410
2019-1,USA,62737,4.744970364805079,5.678568939439882,42989,418,2578,229,16523
2019-1,Canada,12460,0.3462994282032783,1.1278028752637348,8034,57,30,43,4296
2019-1,Brazil,1605,14.072494669509595,0.14527476844288076,1136,16,9,41,403
2019-1,Mexico,1853,32.07412687099074,0.16772220929885237,1282,11,7,38,515
2019-1,America others,2266,10.861056751467713,0.20510443943399867,1541,24,33,128,540
2019-1,Russia,25194,14.862770128567515,2.2804065521183414,17260,181,37,191,7525
2019-1,UK,10148,7.968932865198419,0.9185347976064511,7982,175,17,41,1933
2019-1,Germany,6850,-6.522925764192145,0.6200200397717964,4925,278,19,177,1451
2019-1,France,5574,-5.381089797996941,0.5045243360128457,3773,297,48,288,1168
2019-1,Italy,2731,-1.0865628395508864,0.2471933910389454,1968,83,17,40,623
2019-1,Netherland,2269,-2.576212966938596,0.20537598105725635,1592,47,16,77,537
2019-1,Ukraine,2262,38.858195211786374,0.2047423839363217,593,58,3,28,1580
2019-1,Spain,1368,-16.176470588235293,0.12382298020552081,1010,36,15,52,255
2019-1,Romania,872,19.12568306010929,0.07892809849357758,412,8,4,3,445
2019-1,Norway,801,-19.335347432024175,0.07250161340981152,552,66,4,28,151
2019-1,Sweden,982,4.24628450106157,0.08888462467969403,844,29,6,18,85
2019-1,Poland,1324,-11.968085106382976,0.11984036973107423,713,10,0,27,574
2019-1,Swiss,747,-29.3282876064333,0.06761386419117255,613,18,0,19,97
2019-1,Portugal,564,-4.729729729729726,0.05104982517245155,416,14,0,13,121
2019-1,Austria,776,-2.3899371069182385,0.07023876654933052,544,8,2,13,209
2019-1,Finland,859,-13.841524573721165,0.07775141812612746,412,23,1,18,405
2019-1,Belgium,709,-6.092715231788082,0.06417433696324142,490,24,4,22,169
2019-1,Croatia,491,-0.40567951318458695,0.044442312339847016,226,12,0,3,250
2019-1,Greece,775,8.848314606741582,0.07014825267491127,481,17,4,0,273
2019-1,Bulgaria,431,17.759562841530062,0.03901147987469259,154,1,1,10,265
2019-1,Denmark,751,7.439198855507878,0.0679759196888495,520,21,6,16,188
2019-1,Ireland,595,0.5067567567567544,0.053855755279448005,392,15,1,2,185
2019-1,Europe others,2965,23.23358270989193,0.26837363765304767,1809,44,25,91,996
2019-1,Austrailia,14285,22.219370294318953,1.2929906960788484,12795,93,17,34,1346
2019-1,New Zealand,2725,2.4821361414065546,0.24665030779242994,2029,20,17,5,654
2019-1,Oceania others,614,11.231884057971019,0.055575518893413584,555,3,4,0,52
2019-1,South Africa,1000,10.741971207087486,0.09051387441924036,368,9,1,6,616
2019-1,Africa others,2690,19.82182628062361,0.24348232218775653,768,718,90,206,908
2019-1,Stateless,54,-18.181818181818176,0.004887749218638979,33,4,0,1,16
2019-1,Overseas Korean,15526,-19.118566367993328,1.4053184142331259,0,0,0,0,15526
2019-2,China,453379,31.284440596396035,37.72493305885662,324291,2694,143,38731,87520
2019-2,Japan,213200,26.722974780225982,17.74002705936585,204697,2125,119,2084,4175
2019-2,Taiwan,94559,7.360688496298651,7.868101401062738,92276,105,20,908,1250
2019-2,Hong Kong,51312,1.4271595176912344,4.269588501267264,49695,54,3,489,1071
2019-2,Macao,3966,-17.95614398014067,0.33000444332760304,3890,1,0,33,42
2019-2,Phillipines,29294,8.444082478806504,2.4375063446391336,15541,171,57,189,13336
2019-2,Indonesia,18115,22.90521745030192,1.5073198413715403,12172,147,72,697,5027
2019-2,Thailand,39220,-9.689601178962882,3.2634327451610163,32074,56,180,332,6578
2019-2,Vietnam,42181,72.11114738044719,3.5098127644986445,20071,806,98,9324,11882
2019-2,India,8309,17.143662766107436,0.6913784466992067,2372,2303,102,360,3172
2019-2,Malaysia,27484,21.99387456167605,2.2868991730750987,24047,136,2,604,2695
2019-2,Singapore,9792,7.6872319366545705,0.8147764773232197,8228,114,6,257,1187
2019-2,Mongolia,9176,3.0895405010672894,0.7635201139622001,6670,109,314,1152,931
2019-2,Uzbekistan,7149,28.00358102059086,0.5948567234868971,2165,716,5,1217,3046
2019-2,Myanmar,5367,1.1687087653157402,0.4465793866210907,1107,13,25,231,3991
2019-2,*GCC,1478,16.103692065985854,0.12298198871361506,1143,27,9,192,107
2019-2,Kazakhstan,3774,-19.479411137187963,0.3140284339683242,1924,21,3,404,1422
2019-2,Turkey,1765,-6.909282700421937,0.1468627943704537,664,13,29,151,908
2019-2,Cambodia,3715,43.88071262587141,0.3091191394256292,1473,53,92,147,1950
2019-2,Sri Lanka,1516,31.483087597571547,0.126143907232639,241,52,0,48,1175
2019-2,Bangladesh,1656,33.33333333333333,0.1377930807237798,228,83,38,265,1042
2019-2,Pakistan,1439,10.60722521137587,0.11973686181251154,257,290,11,463,418
2019-2,Israel,761,6.732117812061711,0.06332157876255823,694,15,1,14,37
2019-2,Iran,329,-39.853747714808044,0.02737555770418089,99,67,5,64,94
2019-2,Asia others,5150,12.988152698552003,0.4285231677098224,1635,383,157,537,2438
2019-2,USA,57732,-12.592166421898899,4.803786314218149,38475,386,1970,1144,15757
2019-2,Canada,13551,-17.562963864217064,1.12755678556035,8888,45,27,116,4475
2019-2,Brazil,1354,-12.757731958762886,0.11266414933574749,881,12,13,101,347
2019-2,Mexico,1435,2.4268379728765277,0.11940402828419323,818,1,7,207,402
2019-2,America others,2308,-2.120441051738764,0.1920449458396641,1578,19,24,257,430
2019-2,Russia,20001,-4.2510412178658585,1.6642508499736228,12512,139,24,391,6935
2019-2,UK,7876,-23.785562221792144,0.6553492172587497,5864,150,8,105,1749
2019-2,Germany,6866,-28.30740315338832,0.5713087513583769,4878,258,15,525,1190
2019-2,France,5830,-19.88456781640786,0.4851048675239349,3685,235,30,958,922
2019-2,Italy,2384,-25.5,0.19836878287771198,1685,52,14,125,508
2019-2,Netherland,2357,-39.78027593254983,0.19612215656156337,1580,33,7,180,557
2019-2,Ukraine,2080,4.8387096774193505,0.1730734347255205,543,51,2,57,1427
2019-2,Spain,1373,-9.193121693121697,0.11424510859525945,1006,17,5,129,216
2019-2,Romania,771,20.28081123244929,0.064153662583354,334,4,4,30,399
2019-2,Norway,577,-67.29024943310658,0.04801123645991603,455,38,3,45,36
2019-2,Sweden,927,-51.23619147816938,0.07713417018776804,729,19,9,91,79
2019-2,Poland,1266,-24.777183600713016,0.1053418117127447,619,14,0,74,559
2019-2,Swiss,877,-63.443101292205085,0.07297375108378917,710,17,0,67,83
2019-2,Portugal,670,-14.540816326530614,0.05574961599331671,545,5,0,19,101
2019-2,Austria,746,-56.526806526806524,0.06207345303136457,561,9,7,36,133
2019-2,Finland,933,-51.75801447776629,0.0776334204802455,398,10,1,139,385
2019-2,Belgium,654,-19.65601965601965,0.054418281880043474,452,16,2,41,143
2019-2,Croatia,447,-6.680584551148227,0.037194146789570996,192,7,1,11,236
2019-2,Greece,607,-19.281914893617024,0.05050748792230335,381,27,0,5,194
2019-2,Bulgaria,326,-12.834224598930478,0.02712593255794216,146,0,1,15,164
2019-2,Denmark,694,-13.466334164588535,0.05774661716322656,469,12,5,77,131
2019-2,Ireland,613,-9.453471196454943,0.05100673821478081,389,7,0,14,203
2019-2,Europe others,2674,-44.256827183656455,0.22249921368078934,1579,24,15,245,811
