date,nation,visitor,growth,share,age0-20,age21-30,age31-40,age41-50,age51-60,age61
2019-1,China,392814,28.737869805032012,35.55511706611948,36520,108591,103657,48574,40893,40998
2019-1,Japan,206526,23.606830138314482,18.693468428308034,18015,57921,34165,39811,33857,20330
2019-1,Taiwan,87954,16.003692957003434,7.961057310669865,18888,17927,18595,18862,8169,4566
2019-1,Hong Kong,35896,3.5332121946295203,3.249086036153052,3890,11384,7400,5461,4629,2137
2019-1,Macao,2570,-12.376406409819296,0.23262065725744768,223,1013,762,264,181,92
2019-1,Phillipines,30473,0.062389177119581696,2.758229295177511,1436,5051,5486,3140,1831,811
2019-1,Indonesia,18842,10.614065985675714,1.7054624218073269,2732,4213,3643,2895,1488,613
2019-1,Thailand,41334,-8.026078636434441,3.7413004852448806,3310,10977,10551,5821,3403,1873
2019-1,Vietnam,20183,23.936137549892543,1.8268415274035281,1824,5484,4200,1963,1095,450
2019-1,India,8671,16.844091092844636,0.7848458050892331,258,1421,2310,1322,522,197
2019-1,Malaysia,22065,-0.2170668837335521,1.9971886390605382,2923,6643,4546,2689,1946,769
2019-1,Singapore,9855,1.9764072847682224,0.8920142324016137,670,2276,2044,1771,1342,522
2019-1,Mongolia,9785,-9.339386639488556,0.8856782611922669,1551,1807,2840,2105,970,465
2019-1,Uzbekistan,5754,5.947339348186342,0.520816833408309,233,1614,1896,949,394,203
2019-1,Myanmar,5289,-11.673346693386776,0.47872788180336223,27,1070,994,324,108,17
2019-1,*GCC,1776,-1.6066481994459814,0.16075264096857086,247,477,521,289,140,70
2019-1,Kazakhstan,3574,-9.335362760020294,0.323496587174365,343,928,857,479,402,260
2019-1,Turkey,1785,-7.704239917269906,0.16156726583834402,57,239,300,206,89,24
2019-1,Cambodia,2695,10.859728506787336,0.24393489155985276,124,1392,685,109,58,28
2019-1,Sri Lanka,1287,-14.200000000000001,0.11649135637756232,13,373,550,151,31,8
2019-1,Bangladesh,1247,1.2997562956945652,0.11287080140079271,26,342,403,123,48,12
2019-1,Pakistan,1032,-10.726643598615915,0.09341031840065604,62,328,378,147,67,17
2019-1,Israel,805,-0.49443757725586845,0.0728636689074885,19,80,170,223,120,178
2019-1,Iran,184,-66.7870036101083,0.016654552893140225,9,30,73,39,12,6
2019-1,Asia others,4554,16.679477325134506,0.4122001841052205,247,1605,1349,500,209,108
2019-1,USA,62737,4.744970364805079,5.678568939439882,5601,10672,10618,10137,11530,8972
2019-1,Canada,12460,0.3462994282032783,1.1278028752637348,959,2190,2299,1847,2184,1722
2019-1,Brazil,1605,14.072494669509595,0.14527476844288076,215,389,357,213,92,53
2019-1,Mexico,1853,32.07412687099074,0.16772220929885237,153,388,353,239,174,88
2019-1,America others,2266,10.861056751467713,0.20510443943399867,195,666,491,248,159,110
2019-1,Russia,25194,14.862770128567515,2.2804065521183414,2569,4480,5325,3866,2520,1299
2019-1,UK,10148,7.968932865198419,0.9185347976064511,923,1669,1801,1682,1695,1623
2019-1,Germany,6850,-6.522925764192145,0.6200200397717964,357,1074,1414,1217,1377,502
2019-1,France,5574,-5.381089797996941,0.5045243360128457,437,1316,1151,1135,704,238
2019-1,Italy,2731,-1.0865628395508864,0.2471933910389454,79,369,581,651,417,155
2019-1,Netherland,2269,-2.576212966938596,0.20537598105725635,108,472,319,398,394,133
2019-1,Ukraine,2262,38.858195211786374,0.2047423839363217,36,275,243,132,118,34
2019-1,Spain,1368,-16.176470588235293,0.12382298020552081,61,312,348,281,154,58
2019-1,Romania,872,19.12568306010929,0.07892809849357758,57,92,128,89,65,13
2019-1,Norway,801,-19.335347432024175,0.07250161340981152,41,168,139,139,144,57
2019-1,Sweden,982,4.24628450106157,0.08888462467969403,69,217,187,206,196,69
2019-1,Poland,1324,-11.968085106382976,0.11984036973107423,35,214,284,168,61,39
2019-1,Swiss,747,-29.3282876064333,0.06761386419117255,41,166,120,128,164,81
2019-1,Portugal,564,-4.729729729729726,0.05104982517245155,27,142,119,88,73,18
2019-1,Austria,776,-2.3899371069182385,0.07023876654933052,33,151,144,129,114,78
2019-1,Finland,859,-13.841524573721165,0.07775141812612746,20,127,116,100,82,24
2019-1,Belgium,709,-6.092715231788082,0.06417433696324142,28,134,142,133,129,39
2019-1,Croatia,491,-0.40567951318458695,0.044442312339847016,6,57,74,58,46,12
2019-1,Greece,775,8.848314606741582,0.07014825267491127,7,95,164,130,72,51
2019-1,Bulgaria,431,17.759562841530062,0.03901147987469259,3,38,49,46,28,15
2019-1,Denmark,751,7.439198855507878,0.0679759196888495,56,130,101,168,124,52
2019-1,Ireland,595,0.5067567567567544,0.053855755279448005,23,140,151,105,77,46
2019-1,Europe others,2965,23.23358270989193,0.26837363765304767,187,533,556,428,261,144
2019-1,Austrailia,14285,22.219370294318953,1.2929906960788484,3194,3154,2068,2471,1937,1165
2019-1,New Zealand,2725,2.4821361414065546,0.24665030779242994,438,611,484,350,442,239
